OBJECTID,SA_GUID_2016,SA_GUID_2022,SA_PUB2011,SA_PUB2016,SA_PUB2022,SA_GEOGID_2022,SA_CHANGE_CODE,SA_URBAN_AREA_FLAG,SA_URBAN_AREA_NAME,SA_NUTS1,SA_NUTS1_NAME,SA_NUTS2,SA_NUTS2_NAME,SA_NUTS3,SA_NUTS3_NAME,ED_GUID,ED_OFFICIAL,ED_ENGLISH,ED_GAEILGE,ED_ID_STR,ED_PART_COUNT,COUNTY_CODE,COUNTY_ENGLISH,COUNTY_GAEILGE,CSO_LEA,Shape__Area,Shape__Length
1,4c07d11e-0a4f-851d-e053-ca3ca8c0ca7f,4c07d11e-0a4f-851d-e053-ca3ca8c0ca7f,017010016,017010016,017010016,A017010016,0,1,Carlow,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1857-13a3-e055-000000000001,Y,CARLOW RURAL,CEATHARLACH (TUATH),017010,1,01,CARLOW,Ceatharlach,CARLOW,204944.170928955,2123.34648315674
2,4c07d11e-0a3a-851d-e053-ca3ca8c0ca7f,4c07d11e-0a3a-851d-e053-ca3ca8c0ca7f,017010046,017010046,017010046,A017010046,4,1,Carlow,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1857-13a3-e055-000000000001,Y,CARLOW RURAL,CEATHARLACH (TUATH),017010,1,01,CARLOW,Ceatharlach,CARLOW,288225.422637939,2891.2710310982
3,4c07d11e-0a4e-851d-e053-ca3ca8c0ca7f,4c07d11e-0a4e-851d-e053-ca3ca8c0ca7f,017010037,017010037,017010037,A017010037,0,1,Carlow,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1857-13a3-e055-000000000001,Y,CARLOW RURAL,CEATHARLACH (TUATH),017010,1,01,CARLOW,Ceatharlach,CARLOW,208426.926544189,2436.98555792461
4,4c07d11e-0a25-851d-e053-ca3ca8c0ca7f,4c07d11e-0a25-851d-e053-ca3ca8c0ca7f,017010005,017010005,017010005,A017010005,0,1,Carlow,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1857-13a3-e055-000000000001,Y,CARLOW RURAL,CEATHARLACH (TUATH),017010,1,01,CARLOW,Ceatharlach,CARLOW,348798.596252441,2887.09130581963
5,4c07d11e-0a57-851d-e053-ca3ca8c0ca7f,4c07d11e-0a57-851d-e053-ca3ca8c0ca7f,017010036,017010036,017010036,A017010036,0,1,Carlow,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1857-13a3-e055-000000000001,Y,CARLOW RURAL,CEATHARLACH (TUATH),017010,1,01,CARLOW,Ceatharlach,CARLOW,429349.095916748,2844.40957533142
6,4c07d11e-2df2-851d-e053-ca3ca8c0ca7f,4c07d11e-2df2-851d-e053-ca3ca8c0ca7f,017010009,017010009,017010009,A017010009,4,1,Carlow,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1857-13a3-e055-000000000001,Y,CARLOW RURAL,CEATHARLACH (TUATH),017010,1,01,CARLOW,Ceatharlach,CARLOW,59299.1983032227,1058.28990451154
7,4c07d11e-0a41-851d-e053-ca3ca8c0ca7f,4c07d11e-0a41-851d-e053-ca3ca8c0ca7f,017010029,017010029,017010029/017010046,A017010029/A017010046,4,1,Carlow,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1857-13a3-e055-000000000001,Y,CARLOW RURAL,CEATHARLACH (TUATH),017010,1,01,CARLOW,Ceatharlach,CARLOW,218066.8699646,2124.10203668647
8,4c07d11e-0a1a-851d-e053-ca3ca8c0ca7f,4c07d11e-0a1a-851d-e053-ca3ca8c0ca7f,017010007,017010007,017010007,A017010007,4,1,Carlow,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1857-13a3-e055-000000000001,Y,CARLOW RURAL,CEATHARLACH (TUATH),017010,1,01,CARLOW,Ceatharlach,CARLOW,224793.3125,2292.21115776225
9,4c07d11e-1d48-851d-e053-ca3ca8c0ca7f,4c07d11e-1d48-851d-e053-ca3ca8c0ca7f,017010044,017010044,017010044,A017010044,0,1,Carlow,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1857-13a3-e055-000000000001,Y,CARLOW RURAL,CEATHARLACH (TUATH),017010,1,01,CARLOW,Ceatharlach,CARLOW,87653.0738220215,1377.50651919528
10,4c07d11e-1d56-851d-e053-ca3ca8c0ca7f,4c07d11e-1d56-851d-e053-ca3ca8c0ca7f,017010042,017010042,017010042,A017010042,0,1,Carlow,IE0,Ireland,IE05,Southern,IE052,South-East,2ae19629-1857-13a3-e055-000000000001,Y,CARLOW RURAL,CEATHARLACH (TUATH),017010,1,01,CARLOW,Ceatharlach,CARLOW,64936.7774658203,1339.68276926832
