FID,cdo_1,twoway,bollardpro,Shape_Leng,Shape_Le_1,Shape__Len
0,SegregatedCycleLane,0,1,0.08959523,89.59523455,149.8049291
1,SegregatedCycleLane,1,1,0.26189171,261.8917071,437.7766056
2,SegregatedCycleLane,0,1,0.08504467,85.0446746,142.1633853
3,SegregatedCycleLane,0,1,0.32541166,325.4116647,544.0398725
4,SegregatedCycleLane,0,1,0.12866643,128.6664324,215.078919
5,SegregatedCycleLane,1,1,0.47025056,470.25056,786.0674192
6,SegregatedCycleLane,1,1,0.13332145,133.3214478,222.8594025
7,SegregatedCycleLane,1,1,0.10488936,104.8893595,175.3306812
8,SegregatedCycleLane,1,1,0.07138392,71.38391982,119.3258729
9,SegregatedCycleLane,0,0,0.07226623,72.26622862,120.8010798
10,SegregatedCycleLane,0,0,0.10815868,108.1586778,180.7995237
11,SegregatedCycleLane,0,0,0.23208283,232.0828327,387.966731
12,SegregatedCycleLane,0,1,0.06341743,63.41742962,106.0484713
13,SegregatedCycleLane,0,1,0.70199629,701.9962917,1173.470037
14,SegregatedCycleLane,0,1,0.08639206,86.39205897,144.5414743
15,SegregatedCycleLane,1,1,0.03945951,39.45950767,66.01035695
16,SegregatedCycleLane,0,1,0.2872457,287.2457006,480.3933851
17,SegregatedCycleLane,0,1,0.08462822,84.62822474,141.5227937
18,SegregatedCycleLane,0,1,0.06886022,68.86022144,115.1626995
19,SegregatedCycleLane,0,1,0.13196134,131.9613428,220.6896333
20,SegregatedCycleLane,0,1,0.07274805,72.74805199,121.6664868
21,Shared Foot and Cycle Path Road Adjacent,0,0,0.35883404,358.8340358,600.262452
22,SegregatedCycleLane,0,1,0.12620583,126.2058297,210.9783144
23,SegregatedCycleLane,0,1,0.08173185,81.73185481,136.8792766
24,SignedRoute,1,1,0.3475145,347.5145012,582.2031819
25,SegregatedCycleLane,0,1,0.23989011,239.8901113,401.0618865
26,SegregatedCycleLane,0,1,0.11933555,119.3355529,199.5035349
27,SegregatedCycleLane,0,1,0.01623046,16.23046293,27.1305889
28,SegregatedCycleLane,1,1,0.06417553,64.1755295,107.4969926
29,SegregatedCycleLane,0,1,0.15911332,159.113324,265.9807431
30,SegregatedCycleLane,0,1,0.30499993,304.9999308,509.879034
31,SegregatedCycleLane,0,1,0.16951609,169.5160873,283.9576012
32,SegregatedCycleLane,0,1,0.29102223,291.0222307,487.2770944
33,SegregatedCycleLane,0,1,0.07661359,76.61358706,128.3270777
34,SegregatedCycleLane,0,1,0.06846437,68.46437145,114.6674659
35,SegregatedCycleLane,0,1,0.11252572,112.5257166,188.4782631
36,SegregatedCycleLane,0,1,0.07053365,70.53364893,118.1093522
37,SegregatedCycleLane,0,1,0.1966699,196.669905,329.4271116
38,SegregatedCycleLane,0,1,0.07941631,79.41630615,133.0107139
39,SegregatedCycleLane,0,1,0.09146562,91.46561735,153.179777
40,SegregatedCycleLane,0,1,0.45645868,456.4586834,764.3894994
41,SegregatedCycleLane,0,1,0.10297792,102.977916,172.4823198
42,SegregatedCycleLane,0,1,0.18012742,180.1274214,301.7390889
43,SegregatedCycleLane,0,1,0.15272242,152.7224212,255.8299583
44,SegregatedCycleLane,0,1,0.12545247,125.452466,210.1388999
45,SegregatedCycleLane,0,1,0.12520061,125.2006098,209.7450277
46,SegregatedCycleLane,0,1,0.16723241,167.2324087,280.1713904
47,SegregatedCycleLane,0,1,0.1812672,181.2671964,303.6774997
48,SegregatedCycleLane,0,1,0.23957704,239.5770356,401.268439
49,SegregatedCycleLane,0,1,2.00958571,2009.585713,3362.512807
50,SegregatedCycleLane,0,1,0.19192675,191.9267468,320.9857215
51,SegregatedCycleLane,1,0,0.70444155,704.4415486,1177.533354
52,SegregatedCycleLane,1,0,0.682988,682.9879979,1141.733331
53,SegregatedCycleLane,0,1,0.313575,313.5749957,524.264114
54,SegregatedCycleLane,0,0,0.36265872,362.6587231,606.22696
55,TrafficFree,1,0,0.74121851,741.2185094,1241.472374
56,SegregatedCycleLane,0,0,0.08019273,80.19272745,134.417171
57,SegregatedCycleLane,0,0,0.12408012,124.0801195,207.9973952
58,SegregatedCycleLane,0,0,0.19076988,190.7698768,319.7367495
59,SegregatedCycleLane,0,0,0.88899604,888.9960392,1488.234794
60,SegregatedCycleLane,0,0,0.90158735,901.5873517,1509.336166
61,SegregatedCycleLane,0,1,0.26512814,265.1281405,444.3210196
62,SegregatedCycleLane,0,1,0.18661719,186.6171922,312.7061403
63,SegregatedCycleLane,0,1,0.23296126,232.9612633,390.3492929
64,SegregatedCycleLane,0,1,0.15512455,155.1245466,259.8711631
65,SegregatedCycleLane,0,1,0.06323896,63.23896492,105.9036803
66,SegregatedCycleLane,0,1,0.03635079,36.35079241,60.87287065
67,SegregatedCycleLane,0,1,0.04579743,45.79743288,76.65824087
68,Footway level Cycle Track,0,0,0.30179869,301.7986869,505.9448988
