FID,BIKE,Shape_Leng,DIR
0,SEPARATE_TRAIL,89.59523455,Forward
1,SEPARATE_TRAIL,261.8917071,Bi-Directional
2,SEPARATE_TRAIL,85.0446746,Forward
3,SEPARATE_TRAIL,325.4116647,Forward
4,SEPARATE_TRAIL,128.6664324,Forward
5,SEPARATE_TRAIL,470.25056,Bi-Directional
6,SEPARATE_TRAIL,133.3214478,Bi-Directional
7,SEPARATE_TRAIL,104.8893595,Bi-Directional
8,SEPARATE_TRAIL,71.38391982,Bi-Directional
9,SEPARATE_TRAIL,72.26622862,Forward
10,SEPARATE_TRAIL,108.1586778,Forward
11,SEPARATE_TRAIL,232.0828327,Forward
12,SEPARATE_TRAIL,63.41742962,Forward
13,SEPARATE_TRAIL,701.9962917,Forward
14,SEPARATE_TRAIL,86.39205897,Forward
15,SEPARATE_TRAIL,39.45950767,Bi-Directional
16,SEPARATE_TRAIL,287.2457006,Forward
17,SEPARATE_TRAIL,84.62822474,Forward
18,SEPARATE_TRAIL,68.86022144,Forward
19,SEPARATE_TRAIL,131.9613428,Forward
20,SEPARATE_TRAIL,72.74805199,Forward
21,BIKE_FRIENDLY_PEDESTRIAN_PATH,358.8340358,Forward
22,SEPARATE_TRAIL,126.2058297,Forward
23,SEPARATE_TRAIL,81.73185481,Forward
24,SHARED_ROAD,347.5145012,Bi-Directional
25,SEPARATE_TRAIL,239.8901113,Reverse
26,SEPARATE_TRAIL,119.3355529,Reverse
27,SEPARATE_TRAIL,16.23046293,Forward
28,SEPARATE_TRAIL,64.1755295,Bi-Directional
29,SEPARATE_TRAIL,159.113324,Forward
30,SEPARATE_TRAIL,304.9999308,Forward
31,SEPARATE_TRAIL,169.5160873,Forward
32,SEPARATE_TRAIL,291.0222307,Forward
33,SEPARATE_TRAIL,76.61358706,Forward
34,SEPARATE_TRAIL,68.46437145,Forward
35,SEPARATE_TRAIL,112.5257166,Forward
36,SEPARATE_TRAIL,70.53364893,Forward
37,SEPARATE_TRAIL,196.669905,Forward
38,SEPARATE_TRAIL,79.41630615,Forward
39,SEPARATE_TRAIL,91.46561735,Forward
40,SEPARATE_TRAIL,456.4586834,Forward
41,SEPARATE_TRAIL,102.977916,Forward
42,SEPARATE_TRAIL,180.1274214,Forward
43,SEPARATE_TRAIL,152.7224212,Forward
44,SEPARATE_TRAIL,125.452466,Forward
45,SEPARATE_TRAIL,125.2006098,Forward
46,SEPARATE_TRAIL,167.2324087,Forward
47,SEPARATE_TRAIL,181.2671964,Forward
48,SEPARATE_TRAIL,239.5770356,Forward
49,SEPARATE_TRAIL,2009.585713,Forward
50,SEPARATE_TRAIL,191.9267468,Forward
51,SEPARATE_TRAIL,704.4415486,Bi-Directional
52,SEPARATE_TRAIL,682.9879979,Bi-Directional
53,SEPARATE_TRAIL,313.5749957,Forward
54,SEPARATE_TRAIL,362.6587231,Forward
55,NON_TRAFFIC_TRAIL,741.2185094,Bi-Directional
56,SEPARATE_TRAIL,80.19272745,Forward
57,SEPARATE_TRAIL,124.0801195,Forward
58,SEPARATE_TRAIL,190.7698768,Forward
59,SEPARATE_TRAIL,87.49430263,Forward
60,SEPARATE_TRAIL,128.07294,Forward
61,SEPARATE_TRAIL,181.0292426,Forward
62,BIKE_FRIENDLY_PEDESTRIAN_PATH,979.7669978,Forward
63,SEPARATE_TRAIL,43.29813402,Forward
64,SEPARATE_TRAIL,44.30169559,Forward
65,SEPARATE_TRAIL,47.29465079,Forward
66,BIKE_FRIENDLY_PEDESTRIAN_PATH,121.8889163,Forward
67,SEPARATE_TRAIL,51.44841691,Forward
68,SEPARATE_TRAIL,33.96062067,Forward
69,SEPARATE_TRAIL,116.2365342,Forward
70,SEPARATE_TRAIL,40.27448897,Forward
71,SEPARATE_TRAIL,50.65931965,Forward
72,SEPARATE_TRAIL,42.56294262,Forward
73,SEPARATE_TRAIL,32.60578833,Forward
74,SEPARATE_TRAIL,888.9960392,Forward
75,SEPARATE_TRAIL,901.5873517,Forward
76,SEPARATE_TRAIL,40.13595509,Forward
77,SEPARATE_TRAIL,44.38671268,Forward
78,SEPARATE_TRAIL,47.84348697,Forward
79,SEPARATE_TRAIL,9.101856847,Forward
80,SEPARATE_TRAIL,83.66133083,Forward
81,SEPARATE_TRAIL,78.55671738,Forward
82,SEPARATE_TRAIL,132.0141301,Forward
83,SEPARATE_TRAIL,909.7294838,Bi-Directional
84,SEPARATE_TRAIL,42.52682715,Forward
85,SEPARATE_TRAIL,422.3533219,Forward
86,SEPARATE_TRAIL,265.1281405,Forward
87,SEPARATE_TRAIL,186.6171922,Forward
88,SEPARATE_TRAIL,232.9612633,Forward
89,SEPARATE_TRAIL,155.1245466,Forward
90,SEPARATE_TRAIL,185.1792771,Forward
91,SEPARATE_TRAIL,499.7871079,Forward
92,SEPARATE_TRAIL,244.670896,Forward
93,SEPARATE_TRAIL,120.9402948,Forward
94,SEPARATE_TRAIL,358.0099292,Forward
95,SEPARATE_TRAIL,207.3986654,Forward
96,SEPARATE_TRAIL,88.47765337,Forward
97,SEPARATE_TRAIL,65.06994052,Forward
98,SEPARATE_TRAIL,152.7520811,Forward
99,SEPARATE_TRAIL,337.5080133,Forward
100,SEPARATE_TRAIL,323.7774673,Forward
101,SEPARATE_TRAIL,717.7096572,Forward
102,SEPARATE_TRAIL,103.7815984,Forward
103,SEPARATE_TRAIL,1058.791534,Forward
104,NON_TRAFFIC_TRAIL,1225.83621,Bi-Directional
105,NON_TRAFFIC_TRAIL,106.2520112,Bi-Directional
106,NON_TRAFFIC_TRAIL,496.9573286,Bi-Directional
107,NON_TRAFFIC_TRAIL,1513.71511,Bi-Directional
108,NON_TRAFFIC_TRAIL,940.9692429,Bi-Directional
109,NON_TRAFFIC_TRAIL,1468.153719,Bi-Directional
110,NON_TRAFFIC_TRAIL,260.7404236,Bi-Directional
111,NON_TRAFFIC_TRAIL,469.9621097,Bi-Directional
112,NON_TRAFFIC_TRAIL,1761.075093,Bi-Directional
113,NON_TRAFFIC_TRAIL,164.6567799,Bi-Directional
114,NON_TRAFFIC_TRAIL,63.83742931,Bi-Directional
115,NON_TRAFFIC_TRAIL,63.96787238,Bi-Directional
